amount,transaction_hour,failed_attempts,account_age_days,velocity_1h,location_change,new_device,device_trust,merchant_risk,channel,is_fraud
1510.13,21,0,3091,2,0,0,0.6687,0.1007,UPI,0
367.98,18,1,749,1,0,0,0.6355,0.4584,UPI,0
2411.43,16,0,331,2,0,0,0.9604,0.2018,Ecommerce,0
2944.2,5,1,3273,1,0,0,0.5494,0.3475,UPI,0
141.37,14,0,1528,1,0,0,0.8484,0.3075,NetBanking,0
279.42,19,1,1471,1,0,0,0.9589,0.2825,Card,0
1254.17,1,3,1060,1,1,0,0.6851,0.2393,Card,0
786.78,4,0,3317,0,0,0,0.8508,0.2826,Card,0
1077.46,12,0,1223,1,0,0,0.9263,0.0535,UPI,0
447.78,8,0,3009,2,0,0,0.2646,0.364,Ecommerce,0
2761.05,17,1,3472,2,0,0,0.9196,0.2646,Card,0
2481.66,9,1,1581,1,0,0,0.7268,0.4522,Card,0
1175.36,23,0,2454,2,0,0,0.5691,0.5882,UPI,0
3581.74,7,0,93,2,0,1,0.8318,0.2142,Ecommerce,0
1791.64,8,1,2737,0,0,0,0.5479,0.4217,NetBanking,0
444.85,0,0,3405,0,0,0,0.5236,0.2258,UPI,0
1615.16,5,0,688,3,0,1,0.7379,0.3128,Card,0
400.68,5,0,42,4,0,0,0.9229,0.0286,Card,0
2758.31,18,1,160,1,0,0,0.5278,0.1621,Card,0
1040.63,8,0,2997,0,0,0,0.9584,0.1727,Card,0
903.16,4,0,858,4,0,1,0.8781,0.2781,UPI,0
536.48,7,0,1450,0,0,0,0.8907,0.4804,NetBanking,0
3958.69,13,0,1180,1,0,0,0.7916,0.2512,NetBanking,0
932.38,18,0,1059,2,0,0,0.6371,0.5362,UPI,0
699.42,23,0,584,1,0,1,0.9093,0.4161,Wallet,0
757.68,1,0,1433,0,0,0,0.4431,0.1379,Card,0
1917.78,20,0,3235,3,0,1,0.6765,0.2558,NetBanking,0
1609.56,9,1,1253,1,0,1,0.596,0.3053,Card,0
1691.5,19,0,2806,3,0,0,0.6639,0.4569,Card,0
1723.93,0,0,2414,4,1,0,0.859,0.2483,UPI,0
10391.36,15,1,2791,0,0,0,0.8456,0.1525,NetBanking,0
715.7,22,1,2007,4,0,0,0.7173,0.2354,UPI,0
640.43,0,2,1304,2,0,0,0.9593,0.0871,UPI,0
466.63,18,2,904,1,0,0,0.7007,0.117,NetBanking,0
2093.89,2,0,985,2,0,1,0.4602,0.2134,Card,0
3588.25,23,1,1849,1,0,0,0.8409,0.3604,Card,0
972.97,17,1,1418,4,0,0,0.789,0.1901,NetBanking,0
453.88,21,1,1421,3,0,0,0.9489,0.6765,Ecommerce,0
461.41,21,1,1295,2,1,0,0.4435,0.4182,UPI,0
2171.39,7,1,3222,2,0,0,0.6334,0.1952,UPI,0
2393.27,9,0,2254,3,0,0,0.343,0.2144,Card,1
1939.75,16,0,3124,4,1,0,0.6574,0.1033,UPI,0
545.23,4,0,3249,0,0,0,0.7872,0.1818,NetBanking,0
1399.36,7,1,2163,1,0,0,0.595,0.023,Card,0
1239.57,2,0,327,3,0,0,0.6866,0.1897,UPI,0
1379.7,21,1,3379,3,0,0,0.833,0.2725,UPI,0
2738.05,5,0,1677,1,1,0,0.9578,0.1549,UPI,0
1386.83,9,0,1317,7,0,0,0.8068,0.331,UPI,0
2236.93,10,0,1451,4,1,0,0.9277,0.4513,Card,0
1177.28,9,1,314,2,0,0,0.3649,0.0471,Card,0
1485.6,18,0,2327,2,0,1,0.5959,0.5272,Card,0
2127.82,21,0,173,2,0,1,0.6295,0.5705,Card,0
237.46,13,1,2524,4,0,0,0.5818,0.2576,NetBanking,0
783.95,20,1,2918,2,0,1,0.8008,0.1792,Card,0
669.22,2,0,1481,3,0,1,0.6607,0.1914,Ecommerce,0
560.7,23,1,1346,1,0,0,0.7918,0.1185,UPI,0
821.47,2,0,2358,1,0,0,0.4802,0.0999,Card,0
5269.49,1,0,3011,2,0,0,0.7091,0.3356,Card,0
441.81,0,1,341,1,0,0,0.7672,0.0454,UPI,0
3031.13,5,0,1609,2,1,0,0.9052,0.0631,Card,0
187.35,20,0,1135,1,0,0,0.5003,0.0488,UPI,0
771.53,7,1,46,3,0,0,0.6951,0.3783,UPI,0
1301.0,18,0,36,1,0,0,0.8463,0.1803,UPI,0
2029.48,10,0,1853,3,0,0,0.6542,0.3716,UPI,0
2314.13,2,0,2674,0,0,0,0.6194,0.2349,Ecommerce,0
2522.52,11,0,2083,1,0,0,0.4543,0.3105,UPI,0
760.4,5,1,876,3,0,0,0.8445,0.149,Card,0
674.88,6,0,1584,2,0,0,0.7889,0.2379,Card,0
2699.64,12,0,3380,4,1,0,0.8188,0.071,UPI,0
897.07,18,0,2934,0,0,0,0.8793,0.1573,Wallet,0
287.3,14,0,425,1,0,0,0.2112,0.1026,Card,0
333.64,5,0,2256,0,0,0,0.9562,0.2405,Card,0
417.62,17,0,2189,2,0,0,0.4752,0.5279,NetBanking,0
1848.29,16,1,1281,1,0,0,0.6481,0.4901,Ecommerce,0
1273.53,5,0,1280,3,0,0,0.4794,0.0544,Card,0
2264.27,20,1,2518,0,0,0,0.6788,0.054,Card,0
700.21,20,0,3272,3,0,0,0.6768,0.1017,UPI,0
1295.26,14,0,1123,1,1,0,0.8734,0.0652,UPI,0
2115.13,7,1,3245,3,0,0,0.9294,0.196,UPI,0
792.49,8,0,2936,2,0,0,0.3625,0.5649,NetBanking,0
1771.56,10,0,190,3,0,0,0.8368,0.3922,Wallet,0
547.29,4,0,985,1,0,0,0.4392,0.2803,Wallet,0
749.04,7,0,1547,1,0,0,0.7451,0.1355,Wallet,0
734.49,3,0,2335,1,0,0,0.76,0.0243,UPI,0
312.43,3,1,798,1,0,0,0.9288,0.1088,Ecommerce,0
1828.63,17,0,1456,3,0,0,0.8162,0.0436,Card,0
669.9,3,0,330,2,0,0,0.3874,0.2749,NetBanking,0
1111.11,11,0,360,3,0,0,0.5955,0.4891,NetBanking,0
1816.71,10,0,1526,2,0,0,0.662,0.0174,UPI,0
1752.6,1,0,2206,1,0,0,0.8439,0.0657,UPI,0
2205.38,19,0,1587,1,1,0,0.7407,0.5237,UPI,0
988.9,23,1,1345,1,0,0,0.7154,0.1173,Card,0
703.13,15,0,1746,1,0,0,0.7949,0.1296,Card,0
1008.58,16,1,2222,0,0,0,0.8064,0.1713,Wallet,0
186.48,5,2,2501,1,0,0,0.432,0.1046,NetBanking,0
239.97,20,0,1892,1,0,0,0.8389,0.3926,NetBanking,0
273.46,18,0,327,1,0,0,0.6001,0.1361,UPI,0
384.86,10,1,152,2,0,0,0.6883,0.0801,UPI,0
1668.64,16,1,1205,0,0,0,0.8697,0.5584,UPI,0
423.79,22,1,722,0,1,0,0.8344,0.2644,Ecommerce,0
737.25,14,1,1882,2,0,0,0.8046,0.1795,UPI,0
4290.63,4,0,2453,1,0,0,0.9036,0.1434,UPI,0
754.4,7,1,887,3,0,0,0.8006,0.2168,Ecommerce,0
2378.89,4,0,1640,2,0,0,0.6266,0.2331,UPI,0
411.46,7,2,770,3,0,0,0.6152,0.3557,Ecommerce,0
883.85,21,0,1636,2,0,0,0.4338,0.1651,Wallet,0
404.43,4,0,1327,1,0,0,0.8268,0.2909,UPI,0
768.17,21,0,15,1,0,0,0.7127,0.071,UPI,0
2650.02,6,0,2330,4,0,0,0.5827,0.2451,Card,0
178.81,11,0,1064,1,0,0,0.8059,0.3055,UPI,0
1730.46,12,0,2619,2,0,0,0.7776,0.4761,UPI,0
1407.57,3,0,2345,5,0,0,0.5611,0.1616,NetBanking,0
587.66,4,1,688,2,0,0,0.9111,0.479,NetBanking,0
240.24,7,0,3105,4,1,0,0.9726,0.0265,UPI,0
1182.91,1,2,84,2,0,0,0.8086,0.3879,UPI,0
628.94,18,1,2012,3,0,0,0.2702,0.4561,UPI,0
1400.12,13,0,2810,0,0,0,0.8097,0.1922,UPI,0
1122.09,20,0,1895,3,0,0,0.7654,0.3545,NetBanking,0
5895.05,20,0,1954,3,0,0,0.6871,0.4281,UPI,0
852.93,8,0,1649,5,0,0,0.5837,0.1774,UPI,0
374.4,19,0,216,4,0,0,0.813,0.1044,Card,0
1323.77,1,1,2376,3,0,0,0.7263,0.2035,Card,0
1381.6,10,0,3335,1,1,0,0.7261,0.3541,Card,0
4569.44,15,0,2794,0,0,0,0.6078,0.19,UPI,0
2635.6,11,0,212,1,0,0,0.9428,0.2522,NetBanking,0
1595.14,17,1,777,2,0,0,0.8982,0.3193,NetBanking,0
5097.31,20,1,2915,2,0,0,0.8149,0.3226,Ecommerce,0
314.76,10,0,2500,2,0,0,0.9021,0.1809,Wallet,0
560.18,6,0,1287,0,0,0,0.8585,0.2986,UPI,0
414.51,13,0,858,2,0,1,0.7098,0.4108,UPI,0
728.29,20,1,1621,2,0,0,0.954,0.1306,UPI,0
258.39,23,0,118,3,0,0,0.9144,0.1302,UPI,0
2136.47,19,0,319,3,0,0,0.8429,0.1182,Card,0
868.41,5,0,267,1,0,0,0.6722,0.1512,UPI,0
234.08,4,0,2888,4,0,0,0.8013,0.3049,NetBanking,0
377.53,13,0,169,1,0,0,0.6276,0.2133,Ecommerce,0
1524.15,9,0,1937,2,0,1,0.7137,0.3307,Card,0
2643.96,14,0,985,1,0,0,0.7769,0.2035,UPI,0
8924.61,22,1,2649,5,0,0,0.6649,0.2803,UPI,0
23378.11,13,0,451,2,0,0,0.7992,0.2314,Ecommerce,0
1694.48,8,1,3186,1,1,0,0.8828,0.5281,NetBanking,0
387.99,20,0,304,1,0,1,0.916,0.5473,Card,0
116.9,10,2,2963,1,0,0,0.9553,0.3167,NetBanking,0
1452.58,14,0,522,1,0,0,0.8357,0.096,Card,0
467.04,3,0,110,0,0,0,0.5488,0.1615,UPI,0
709.01,12,0,140,6,1,0,0.5796,0.135,UPI,0
576.69,10,1,2734,3,1,1,0.5754,0.1766,UPI,0
945.93,2,0,1207,5,0,0,0.7438,0.0683,Card,0
3358.6,5,1,1462,3,0,0,0.5414,0.0523,Card,0
1293.23,16,0,2881,3,0,1,0.8136,0.4288,Card,0
928.37,4,1,920,4,0,0,0.6274,0.2175,UPI,0
369.65,3,0,1941,3,0,1,0.4102,0.2681,UPI,0
188.97,1,0,1049,1,0,0,0.8027,0.4958,Card,0
658.11,0,1,233,2,0,0,0.9101,0.3047,UPI,0
1036.42,10,0,3477,1,0,1,0.7234,0.5272,Ecommerce,0
7018.65,11,0,1316,0,0,1,0.9244,0.0488,UPI,0
1257.38,14,1,2966,0,1,0,0.3703,0.3705,UPI,0
3077.51,13,0,1508,5,0,0,0.869,0.314,NetBanking,0
649.2,12,2,3036,2,0,0,0.5812,0.4279,Card,0
316.02,23,0,609,2,0,0,0.8794,0.1188,Card,0
398.07,5,0,1893,1,0,0,0.7744,0.464,Card,0
512.1,17,0,1309,0,1,0,0.705,0.6171,Wallet,0
10248.57,1,0,3473,1,0,0,0.8869,0.1752,UPI,0
462.92,20,1,1183,2,0,1,0.7739,0.1956,NetBanking,0
2644.97,8,1,2701,3,0,0,0.531,0.3263,Card,0
424.93,8,1,1731,3,0,0,0.6848,0.082,Card,1
2916.54,3,0,1406,5,0,0,0.877,0.4506,UPI,0
1642.87,12,0,2442,2,0,0,0.896,0.2729,UPI,0
930.32,9,0,2258,1,1,0,0.6799,0.0764,Card,0
1050.69,23,0,1679,1,0,0,0.9098,0.1937,Card,0
551.41,4,0,200,2,0,0,0.8272,0.1915,NetBanking,0
1751.76,10,1,265,3,0,0,0.7566,0.3124,UPI,0
680.12,21,0,2098,3,0,1,0.6941,0.3469,Ecommerce,0
302.81,19,0,199,3,1,0,0.4668,0.223,Card,0
286.62,18,1,2122,4,0,0,0.7156,0.3388,NetBanking,0
1314.51,12,0,3108,5,0,1,0.7251,0.0925,Ecommerce,0
5756.27,20,0,2763,3,0,1,0.5728,0.2443,Card,0
1297.24,5,0,2433,2,0,0,0.7007,0.0312,Ecommerce,0
968.19,19,0,962,2,0,1,0.9233,0.228,UPI,0
1480.47,13,0,2302,0,1,0,0.6921,0.1417,Card,0
4321.26,8,0,647,1,0,1,0.8398,0.2819,Ecommerce,0
1380.71,5,1,3196,2,0,0,0.7414,0.1236,UPI,0
712.32,12,0,321,2,0,0,0.7802,0.1861,UPI,0
3503.8,0,0,1898,2,0,0,0.716,0.5876,Card,0
1720.2,17,1,1705,1,0,0,0.6595,0.2623,UPI,0
5500.22,5,0,264,5,0,0,0.4709,0.1028,UPI,0
1329.28,9,1,658,2,1,0,0.8561,0.1662,Card,0
303.17,4,0,2502,1,1,0,0.6203,0.2595,UPI,0
260.72,11,0,2088,6,1,0,0.5442,0.1616,UPI,0
6207.26,8,1,573,2,0,0,0.7143,0.5072,Wallet,0
6699.91,4,0,498,4,0,0,0.9288,0.5071,Wallet,0
908.24,21,0,2334,3,0,0,0.5977,0.377,UPI,0
733.37,18,0,2314,2,0,0,0.7029,0.1576,UPI,0
5087.37,9,1,1406,2,0,0,0.7649,0.204,UPI,0
342.96,1,1,77,2,0,0,0.6929,0.476,NetBanking,0
428.61,20,2,105,4,0,0,0.8596,0.2596,NetBanking,0
2154.89,16,0,534,0,0,1,0.7087,0.2194,Card,0
724.63,13,0,200,2,0,0,0.3183,0.2072,Card,0
1090.75,14,0,1951,2,0,1,0.6156,0.3714,Card,0
923.7,0,0,1378,4,1,0,0.9698,0.2533,NetBanking,0
1563.14,11,1,766,2,0,1,0.6851,0.123,Ecommerce,0
4807.13,4,0,2083,1,0,0,0.974,0.1794,Ecommerce,0
1206.06,15,0,2467,1,0,0,0.854,0.0274,NetBanking,0
2156.27,22,0,603,0,0,1,0.7586,0.2459,Card,0
127.4,12,0,2190,1,0,0,0.7482,0.1084,Card,0
1041.95,14,0,379,1,1,0,0.5113,0.4037,NetBanking,0
452.42,16,1,2102,5,0,0,0.8732,0.1109,UPI,0
304.98,22,0,1321,3,0,0,0.7247,0.2041,UPI,0
436.13,0,0,390,1,0,0,0.733,0.2482,Wallet,0
772.14,7,0,2816,1,0,0,0.6842,0.1606,Wallet,0
2868.94,6,0,645,1,0,0,0.4041,0.1841,NetBanking,0
272.4,17,0,2745,4,0,0,0.672,0.2345,Wallet,0
1132.48,10,0,1282,3,0,0,0.6445,0.1436,Card,0
659.59,18,1,2396,0,0,0,0.8528,0.3206,Card,0
777.39,11,0,2477,2,1,0,0.3217,0.102,Card,0
3142.88,23,2,1492,1,0,0,0.7781,0.4363,UPI,0
1929.51,18,2,2336,2,0,0,0.8238,0.0613,Card,0
4466.09,0,0,1550,2,0,0,0.7175,0.1652,Ecommerce,0
932.41,23,0,2124,0,0,0,0.83,0.4377,UPI,0
528.09,22,0,796,0,0,0,0.727,0.0579,UPI,0
866.92,1,1,1492,0,0,1,0.9432,0.3524,Card,0
1414.63,9,0,486,2,0,0,0.7481,0.229,NetBanking,0
1320.02,23,0,1459,3,0,0,0.6478,0.0916,NetBanking,0
351.21,20,0,62,1,0,0,0.7129,0.0749,UPI,0
1205.94,11,1,1438,3,0,1,0.4985,0.1031,Card,0
1393.59,13,0,3011,2,0,0,0.6626,0.0521,UPI,0
15418.88,0,0,1269,3,0,0,0.651,0.2171,Ecommerce,0
7869.0,13,1,1740,2,0,0,0.5886,0.3851,Card,0
447.69,15,0,2997,6,0,0,0.3452,0.0652,Card,0
810.98,8,0,17,2,0,0,0.5652,0.3009,Ecommerce,0
235.89,7,0,2349,2,0,0,0.775,0.4575,Card,0
589.78,19,0,1855,3,0,0,0.8677,0.5081,UPI,0
1527.5,10,0,1205,0,0,0,0.7327,0.2048,Card,0
3889.93,6,0,909,3,0,1,0.7907,0.2515,Wallet,1
510.03,8,1,2077,7,0,1,0.7618,0.2573,Ecommerce,0
551.78,11,0,1499,0,0,0,0.7848,0.2205,UPI,0
115.05,6,1,1387,1,0,0,0.8661,0.4873,UPI,0
924.45,13,1,2355,1,0,1,0.745,0.2599,Wallet,0
359.41,20,1,1402,5,1,0,0.8541,0.1602,Card,0
628.97,17,1,2835,3,0,0,0.6675,0.2714,UPI,0
436.72,5,0,1002,1,0,0,0.6341,0.2514,UPI,0
993.29,11,0,2453,2,1,0,0.8763,0.2218,UPI,0
173.19,13,0,1974,3,0,0,0.6167,0.0084,UPI,0
235.0,16,0,3137,1,0,0,0.8099,0.5594,Card,0
10256.94,18,1,1405,3,0,0,0.9539,0.0855,Ecommerce,0
283.78,11,1,826,3,0,0,0.8048,0.3053,Ecommerce,0
346.67,7,0,1399,1,0,0,0.6641,0.1832,Card,0
7545.9,15,1,2317,1,0,1,0.6869,0.1396,Ecommerce,0
23163.21,3,0,1508,3,0,0,0.6843,0.5034,UPI,0
320.49,16,0,3115,2,0,0,0.4689,0.1298,Card,0
744.97,21,0,551,0,0,0,0.5591,0.454,UPI,0
1569.69,17,0,1084,1,0,0,0.6016,0.2913,NetBanking,0
6735.4,10,0,3441,2,1,0,0.7708,0.3842,UPI,0
389.09,19,0,2799,1,0,0,0.6754,0.6115,NetBanking,0
847.64,12,1,275,1,0,1,0.7527,0.2502,Ecommerce,0
2480.47,12,0,3291,0,1,1,0.4999,0.2381,Card,0
1731.09,20,0,1494,1,1,0,0.7324,0.1755,Ecommerce,0
738.81,4,0,2256,2,0,0,0.8914,0.2086,UPI,0
952.88,18,1,65,2,0,1,0.5853,0.108,UPI,0
258.88,16,0,580,2,1,0,0.6957,0.0244,Ecommerce,0
853.99,12,0,2446,2,0,0,0.8201,0.386,UPI,0
829.06,1,0,918,2,0,0,0.6544,0.2161,Card,0
1399.37,18,0,417,3,0,0,0.6512,0.2834,UPI,0
612.11,5,0,2382,4,0,0,0.646,0.2546,Ecommerce,0
1799.23,21,0,765,2,0,1,0.8745,0.3563,UPI,0
3175.92,19,0,3032,4,0,0,0.8313,0.1399,Card,0
1291.04,8,0,631,4,0,0,0.6331,0.0221,Card,0
1586.59,10,0,89,3,0,0,0.4004,0.172,NetBanking,0
1159.58,0,0,1371,1,0,0,0.7985,0.4037,UPI,0
1096.73,11,0,1146,1,0,0,0.8726,0.1952,Card,0
514.07,1,0,2237,2,0,1,0.6665,0.2276,NetBanking,0
1528.92,23,0,822,3,0,1,0.5609,0.2819,UPI,0
990.14,15,0,3432,3,0,0,0.3756,0.5816,Ecommerce,0
9875.64,5,0,1481,1,0,1,0.7354,0.1896,UPI,0
5721.71,19,0,2483,3,0,0,0.5528,0.2662,Card,0
1644.41,0,0,2691,1,0,0,0.7589,0.3401,Card,0
492.15,13,0,3094,3,0,0,0.9529,0.2504,UPI,0
341.03,2,0,1763,1,0,0,0.6718,0.2183,UPI,0
3830.31,1,0,801,1,0,0,0.6863,0.3128,Card,0
1445.03,5,0,1817,2,0,0,0.8482,0.2135,Ecommerce,0
1815.56,7,0,1493,2,0,0,0.6975,0.1169,Card,0
175.6,17,0,2134,3,0,0,0.6945,0.3518,NetBanking,0
2903.9,21,0,832,0,1,0,0.9632,0.6072,NetBanking,0
1767.18,18,2,1808,5,0,0,0.7791,0.4351,Ecommerce,0
341.74,17,0,3352,2,0,0,0.778,0.345,Wallet,0
668.41,13,0,2411,2,0,0,0.69,0.4424,Card,0
1446.5,8,1,3351,0,0,0,0.809,0.4476,UPI,0
1158.74,6,0,380,5,1,0,0.4402,0.3248,Wallet,0
806.92,22,1,2290,1,0,0,0.7324,0.1416,UPI,0
983.72,12,0,86,4,0,0,0.9574,0.4496,Card,0
841.7,13,0,716,2,0,0,0.8567,0.0742,UPI,0
1287.16,0,0,2894,2,0,0,0.9728,0.0226,UPI,0
5141.33,10,1,359,1,0,0,0.9358,0.2149,UPI,0
74.07,16,0,1679,0,0,0,0.533,0.2706,Wallet,0
855.18,11,0,251,1,0,0,0.7952,0.5442,UPI,0
1319.94,14,0,1049,2,0,0,0.8361,0.3345,Card,0
1496.36,19,1,438,4,0,0,0.7987,0.6124,UPI,0
742.1,0,1,1593,2,1,1,0.5587,0.149,Ecommerce,0
173.37,21,0,2252,4,0,1,0.6866,0.0857,Card,1
1547.5,19,0,2277,2,0,1,0.8438,0.1107,Card,0
6725.88,10,0,3263,2,0,0,0.8483,0.1908,UPI,0
219.08,18,0,432,2,0,0,0.7857,0.0262,Card,0
2716.28,1,0,1405,1,0,0,0.6245,0.5292,UPI,0
776.7,7,0,1835,0,0,0,0.5593,0.2692,Ecommerce,0
1028.25,2,0,307,3,0,0,0.7015,0.151,UPI,0
363.02,15,1,393,2,0,0,0.552,0.0475,Card,0
771.87,20,0,1090,4,0,0,0.8049,0.2087,UPI,0
4294.31,14,1,3009,5,0,0,0.4815,0.0844,UPI,0
2021.89,17,0,2054,2,1,0,0.7445,0.1424,Ecommerce,0
6761.01,3,0,1971,6,0,0,0.6289,0.2739,UPI,0
3775.48,22,1,1931,1,0,0,0.7106,0.2248,Card,0
1738.96,4,0,2839,2,0,1,0.7061,0.3578,UPI,0
6844.02,12,0,1910,3,0,0,0.5218,0.2128,UPI,0
1738.79,16,0,2525,2,0,0,0.8362,0.1757,NetBanking,0
2615.96,20,0,1087,2,0,0,0.9059,0.3674,Wallet,0
803.2,22,1,2854,6,0,0,0.4079,0.2052,Card,0
1176.0,14,2,120,0,0,0,0.8118,0.1383,NetBanking,0
527.27,13,1,1200,0,0,1,0.458,0.3222,Card,0
3099.71,10,0,880,2,0,0,0.8828,0.2011,UPI,0
318.23,13,1,494,1,0,0,0.9563,0.2776,NetBanking,0
2493.56,16,1,1882,2,1,0,0.7898,0.2233,Card,0
897.68,15,0,3121,1,0,0,0.6966,0.3102,UPI,0
3751.12,14,1,574,3,0,0,0.7302,0.422,Wallet,0
2412.48,10,0,3097,3,0,0,0.8408,0.297,Card,0
7418.1,4,0,3000,0,0,0,0.7007,0.5383,Card,0
2362.12,1,0,3092,1,1,0,0.3298,0.2476,Ecommerce,0
210.47,10,0,28,1,0,0,0.5961,0.2157,Card,0
1022.19,9,1,3462,3,0,0,0.8068,0.3154,UPI,0
320.34,14,1,1500,0,0,0,0.6184,0.347,Card,0
636.39,21,0,2089,1,0,0,0.7084,0.1828,Card,0
5360.38,16,0,1071,5,0,0,0.5107,0.0642,NetBanking,0
2141.82,19,0,1797,1,0,1,0.6209,0.2249,Ecommerce,0
526.43,13,1,1928,1,0,0,0.7849,0.3301,UPI,0
378.27,22,0,2792,2,0,0,0.5655,0.4265,Ecommerce,0
1135.04,22,1,1199,2,0,0,0.4237,0.2285,Card,0
305.7,3,0,391,1,0,0,0.591,0.2786,UPI,0
542.02,15,1,2055,0,0,0,0.5971,0.3237,UPI,0
1521.74,12,0,2742,0,0,0,0.7686,0.4378,Wallet,0
3688.88,23,0,61,1,0,0,0.7904,0.2911,Card,0
2078.08,14,1,2844,1,0,0,0.6816,0.1144,UPI,0
98.9,0,2,2813,0,0,0,0.8767,0.3006,Ecommerce,0
1509.58,5,0,2023,3,0,0,0.9505,0.5163,Card,0
1182.79,3,0,3319,4,0,0,0.6317,0.26,NetBanking,0
1693.55,4,2,1362,1,0,0,0.3883,0.3094,Ecommerce,1
5985.05,2,1,473,4,0,0,0.4745,0.6902,UPI,0
125.66,18,0,2299,1,0,0,0.679,0.2407,UPI,0
